Movie Title,Actors,Director,Rating
The Shawshank Redemption,"[' Tim Robbins', ' Morgan Freeman']",['Frank Darabont (dir.)'],9.2
The Godfather,"[' Marlon Brando', ' Al Pacino']",['Francis Ford Coppola (dir.)'],9.1
The Godfather: Part II,"[' Al Pacino', ' Robert De Niro']",['Francis Ford Coppola (dir.)'],9.0
The Dark Knight,"[' Christian Bale', ' Heath Ledger']",['Christopher Nolan (dir.)'],9.0
12 Angry Men,"[' Henry Fonda', ' Lee J. Cobb']",['Sidney Lumet (dir.)'],8.9
Schindler's List,"[' Liam Neeson', ' Ralph Fiennes']",['Steven Spielberg (dir.)'],8.9
The Lord of the Rings: The Return of the King,"[' Elijah Wood', ' Viggo Mortensen']",['Peter Jackson (dir.)'],8.9
Pulp Fiction,"[' John Travolta', ' Uma Thurman']",['Quentin Tarantino (dir.)'],8.8
"Il buono, il brutto, il cattivo","[' Clint Eastwood', ' Eli Wallach']",['Sergio Leone (dir.)'],8.8
The Lord of the Rings: The Fellowship of the Ring,"[' Elijah Wood', ' Ian McKellen']",['Peter Jackson (dir.)'],8.8
Fight Club,"[' Brad Pitt', ' Edward Norton']",['David Fincher (dir.)'],8.8
Forrest Gump,"[' Tom Hanks', ' Robin Wright']",['Robert Zemeckis (dir.)'],8.8
Inception,"[' Leonardo DiCaprio', ' Joseph Gordon-Levitt']",['Christopher Nolan (dir.)'],8.7
Star Wars: Episode V - The Empire Strikes Back,"[' Mark Hamill', ' Harrison Ford']",['Irvin Kershner (dir.)'],8.7
The Lord of the Rings: The Two Towers,"[' Elijah Wood', ' Ian McKellen']",['Peter Jackson (dir.)'],8.7
The Matrix,"[' Keanu Reeves', ' Laurence Fishburne']",['Lana Wachowski (dir.)'],8.6
Goodfellas,"[' Robert De Niro', ' Ray Liotta']",['Martin Scorsese (dir.)'],8.6
One Flew Over the Cuckoo's Nest,"[' Jack Nicholson', ' Louise Fletcher']",['Milos Forman (dir.)'],8.6
Shichinin no samurai,"[' Toshirô Mifune', ' Takashi Shimura']",['Akira Kurosawa (dir.)'],8.6
Se7en,"[' Morgan Freeman', ' Brad Pitt']",['David Fincher (dir.)'],8.6
La vita è bella,"[' Roberto Benigni', ' Nicoletta Braschi']",['Roberto Benigni (dir.)'],8.6
Cidade de Deus,"[' Alexandre Rodrigues', ' Leandro Firmino']",['Fernando Meirelles (dir.)'],8.6
Hamilton,"[' Lin-Manuel Miranda', ' Phillipa Soo']",['Thomas Kail (dir.)'],8.6
The Silence of the Lambs,"[' Jodie Foster', ' Anthony Hopkins']",['Jonathan Demme (dir.)'],8.6
