Show Title,Actors,Rating
Planet Earth II,['David Attenborough'],9.5
Planet Earth,"['David Attenborough', ' Sigourney Weaver']",9.4
Band of Brothers,"['Scott Grimes', ' Damian Lewis']",9.4
Breaking Bad,"['Bryan Cranston', ' Aaron Paul']",9.4
Chernobyl,"['Jessie Buckley', ' Jared Harris']",9.4
The Wire,"['Dominic West', ' Lance Reddick']",9.3
Blue Planet II,"['David Attenborough', ' Peter Drost']",9.3
Our Planet,['David Attenborough'],9.3
Cosmos: A Spacetime Odyssey,"['Neil deGrasse Tyson', ' Stoney Emshwiller']",9.2
Cosmos,"['Carl Sagan', ' Jaromír Hanzlík']",9.2
Game of Thrones,"['Emilia Clarke', ' Peter Dinklage']",9.2
Rick and Morty,"['Justin Roiland', ' Chris Parnell']",9.2
Avatar: The Last Airbender,"['Zach Tyler', ' Jack De Sena']",9.2
The Last Dance,"['Phil Jackson', ' Michael Jordan']",9.2
The Sopranos,"['James Gandolfini', ' Lorraine Bracco']",9.2
The World at War,"['Laurence Olivier', ' Anthony Eden']",9.1
Life,"['Oprah Winfrey', ' David Attenborough']",9.1
Hagane no renkinjutsushi,"['Kent Williams', ' Iemasa Kayumi']",9.1
The Vietnam War,"['Peter Coyote', ' Huy Duc']",9.1
Sherlock,"['Benedict Cumberbatch', ' Martin Freeman']",9.1
The Twilight Zone,"['Rod Serling', ' Robert McCord']",9.0
Sahsiyet,"['Haluk Bilginer', ' Cansu Dere']",9.0
The Beatles Anthology,"['Paul McCartney', ' George Harrison']",9.0
Human Planet,"['John Hurt', ' Roger Munns']",9.0
The Blue Planet,"['David Attenborough', ' Pierce Brosnan']",9.0
Batman: The Animated Series,"['Kevin Conroy', ' Loren Lester']",9.0
Frozen Planet,"['David Attenborough', ' Alec Baldwin']",9.0
Firefly,"['Nathan Fillion', ' Gina Torres']",9.0
Dekalog,"['Artur Barcis', ' Olgierd Lukaszewicz']",8.9
True Detective,"['Vince Vaughn', ' Colin Farrell']",8.9
The Civil War,"['David McCullough', ' Sam Waterston']",8.9
Death Note: Desu nôto,"['Mamoru Miyano', ' Brad Swaile']",8.9
Apocalypse: La 2ème guerre mondiale,"['Mathieu Kassovitz', ' Martin Sheen']",8.9
Fargo,"['Billy Bob Thornton', ' Martin Freeman']",8.9
Kaubôi bibappu,"['Kôichi Yamadera', ' Unshô Ishizuka']",8.9
Africa,"['David Attenborough', ' Simon Blakeney']",8.9
When They See Us,"['Asante Blackk', ' Caleel Harris']",8.9
Last Week Tonight with John Oliver,"['John Oliver', ' David Kaye']",8.9
TVF Pitchers,"['Naveen Kasturia', ' Arunabh Kumar']",8.9
Hunter x Hunter,"['Issei Futamata', ' Megumi Han']",8.8
Only Fools and Horses....,"['David Jason', ' Nicholas Lyndhurst']",8.8
Ramayan,"['Arun Govil', ' Deepika Chikhalia']",8.8
The Office,"['Steve Carell', ' Jenna Fischer']",8.8
Friends,"['Jennifer Aniston', ' Courteney Cox']",8.8
Das Boot,"['Jürgen Prochnow', ' Herbert Grönemeyer']",8.8
Monty Python's Flying Circus,"['Graham Chapman', ' John Cleese']",8.8
Gravity Falls,"['Jason Ritter', ' Alex Hirsch']",8.8
Seinfeld,"['Jerry Seinfeld', ' Julia Louis-Dreyfus']",8.8
Pride and Prejudice,"['Colin Firth', ' Jennifer Ehle']",8.8
How the Universe Works,"['Phil Plait', ' Michelle Thaller']",8.8
Black Mirror,"['Daniel Lapaine', ' Hannah John-Kamen']",8.8
Nathan for You,"['Nathan Fielder', ' Anthony Filosa']",8.8
Twin Peaks,"['Kyle MacLachlan', ' Michael Ontkean']",8.8
Over the Garden Wall,"['Elijah Wood', ' Collin Dean']",8.8
One Punch Man: Wanpanman,"['Makoto Furukawa', ' Kaito Ishikawa']",8.8
Dark,"['Louis Hofmann', ' Karoline Eichhorn']",8.8
Narcos,"['Pedro Pascal', ' Wagner Moura']",8.8
Peaky Blinders,"['Cillian Murphy', ' Paul Anderson']",8.7
Blackadder Goes Forth,"['Rowan Atkinson', ' Tony Robinson']",8.7
Freaks and Geeks,"['Linda Cardellini', ' John Francis Daley']",8.7
Shingeki no kyojin,"['Marina Inoue', ' Yûki Kaji']",8.7
Fawlty Towers,"['John Cleese', ' Prunella Scales']",8.7
Chappelle's Show,"['Dave Chappelle', ' Donnell Rawlings']",8.7
It's Always Sunny in Philadelphia,"['Charlie Day', ' Glenn Howerton']",8.7
Stranger Things,"['Millie Bobby Brown', ' Finn Wolfhard']",8.7
Kota Factory,"['Mayur More', ' Jitendra Kumar']",8.7
Arrested Development,"['Jason Bateman', ' Michael Cera']",8.7
Senke nad Balkanom,"['Andrija Kuzmanovic', ' Marija Bergam']",8.7
Rome,"['Kevin McKidd', ' Ray Stevenson']",8.7
Dragon Ball Z: Doragon bôru zetto,"['Jôji Yanami', ' Kyle Hebert']",8.7
Mahabharat,"['Harish Bhimani', ' Nitish Bharadwaj']",8.7
The West Wing,"['Martin Sheen', ' Rob Lowe']",8.7
Steins;Gate,"['Mamoru Miyano', ' Asami Imai']",8.7
